12:47:58.667562 config: drop-rate=0.20, max-delay=100ms, seed=2387230234324
12:47:58.669557 router is listening at :3000
12:50:08.867992 [queue=1] packet #0, 127.0.0.1:3535 -> 127.0.0.1:8080, sz=0 is delayed for 44ms
12:50:08.867992 [queue=0] packet #0, 127.0.0.1:3535 -> 127.0.0.1:8080, sz=0 is delivered
12:50:08.868989 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:3535, sz=0 is delayed for 63ms
12:50:08.868989 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:3535, sz=0 is delivered
12:50:08.934987 [queue=1] packet #0, 127.0.0.1:3535 -> 127.0.0.1:8080, sz=1 is delayed for 14ms
12:50:08.934987 [queue=0] packet #0, 127.0.0.1:3535 -> 127.0.0.1:8080, sz=1 is delivered
12:50:08.936993 [queue=1] packet #0, 127.0.0.1:3535 -> 127.0.0.1:8080, sz=20 is delayed for 28ms
12:50:08.937982 [queue=0] packet #0, 127.0.0.1:3535 -> 127.0.0.1:8080, sz=20 is delivered
12:50:08.937982 [queue=1] packet #1, 127.0.0.1:3535 -> 127.0.0.1:8080, sz=5 is delayed for 2ms
12:50:08.937982 [queue=0] packet #1, 127.0.0.1:3535 -> 127.0.0.1:8080, sz=5 is delivered
12:50:08.937982 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:3535, sz=20 is delayed for 89ms
12:50:08.937982 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:3535, sz=20 is delivered
12:50:08.938984 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:3535, sz=5 is delayed for 51ms
12:50:08.938984 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:3535, sz=5 is delivered
12:50:09.014760 [queue=1] packet #2, 127.0.0.1:3535 -> 127.0.0.1:8080, sz=0 is delayed for 99ms
12:50:09.015757 [queue=0] packet #2, 127.0.0.1:3535 -> 127.0.0.1:8080, sz=0 is delivered
12:50:09.016754 [queue=1] packet #2, 127.0.0.1:8080 -> 127.0.0.1:3535, sz=0 is delayed for 8ms
12:50:09.016754 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:3535, sz=0 is delivered
12:50:09.018751 [queue=1] packet #3, 127.0.0.1:3535 -> 127.0.0.1:8080, sz=0 is delayed for 35ms
